Code poste;Nom poste;Fonction;Etat;Tension (kV);Longitude poste (DD);Latitude poste (DD);Géo-point poste
LAOS;LAOS;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.300113888888889;48.84890277777778;48.8489027778, 2.30011388889
PUGET;PUGET;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.680847222222223;43.45214444444445;43.4521444444, 6.68084722222
GRANZ;GRANZAY;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;-0.5178194444444445;46.21901944444445;46.2190194444, -0.517819444444
DORDI;DORDIVES;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.7631472222222224;48.121744444444445;48.1217444444, 2.76314722222
BRUNN;BRUNNENWASSER;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;7.592419444444444;48.17095277777778;48.1709527778, 7.59241944444
BATZE;BATZENDORF;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;7.724486111111111;48.79913888888888;48.7991388889, 7.72448611111
MONDR;MONDRAGON;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.713166666666667;44.230561111111115;44.2305611111, 4.71316666667
MTPEL;MONTPELLIER;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;3.849513888888889;43.580397222222224;43.5803972222, 3.84951388889
ANTIF;ANTIFER;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;0.15989166666666665;49.65861388888889;49.6586138889, 0.159891666667
DIEPP;DIEPPE;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.1000416666666668;49.914566666666666;49.9145666667, 1.10004166667
BXMET;BEAUMETTES (LES);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.198930555555556;43.85728888888889;43.8572888889, 5.19893055556
CAMP;LE CAMP;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.046838888888889;43.82519166666667;43.8251916667, 5.04683888889
GREGY;GREGY-SUR-YERRE;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.6591472222222223;48.63849722222222;48.6384972222, 2.65914722222
POUZI;POUZIN (LE);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.7512083333333335;44.750194444444446;44.7501944444, 4.75120833333
HERI5;HERICOURT;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;6.770408333333333;47.57576666666667;47.5757666667, 6.77040833333
FLINS;FLINS;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.8556944444444445;48.98363055555556;48.9836305556, 1.85569444444
ISSOU;ISSOU;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;1.789972222222222;48.97086388888889;48.9708638889, 1.78997222222
MTLUE;MONTLUEL;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;5.087461111111111;45.848866666666666;45.8488666667, 5.08746111111
H.BOR;HAUTE-BORNE;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.1476277777777777;49.04997222222222;49.0499722222, 2.14762777778
CHARE;CHARENTON;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.4068722222222223;48.82078333333334;48.8207833333, 2.40687222222
GREZI;GREZILLAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;-0.23175277777777778;44.81326388888888;44.8132638889, -0.231752777778
B.MAI;BELLE-DE-MAI;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;5.3886;43.31043333333333;43.3104333333, 5.3886
V.POR;VIEUX-PORT;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;5.369363888888889;43.28964444444444;43.2896444444, 5.36936388889
ARRI5;ARRIGHI;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.418397222222222;48.7861;48.7861, 2.41839722222
MAZIE;MAZIERES;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.3929666666666667;47.065752777777774;47.0657527778, 2.39296666667
SSDOU;ST-DOULCHARD;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.3809583333333335;47.106230555555555;47.1062305556, 2.38095833333
VEN.P;VENTHON-POSTE;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;6.403380555555556;45.69325833333333;45.6932583333, 6.40338055556
G.HAM;GRAND HAMEAU (LE);POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;0.7290361111111111;49.113930555555555;49.1139305556, 0.729036111111
PREMY;PREMY;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;3.182986111111111;50.172975;50.172975, 3.18298611111
MRNIE;MARTINIERE (LA);POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.737161111111111;44.28284166666666;44.2828416667, 4.73716111111
GUESD;GUESDE;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.4176777777777776;48.788069444444446;48.7880694444, 2.41767777778
ARDO5;ARDOINES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;2.408513888888889;48.78843055555556;48.7884305556, 2.40851388889
TARNO;TARNON;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;3.5818888888888885;44.34261111111111;44.3426111111, 3.58188888889
MORB5;MORBRAS (POSTE SOURCE);POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;2.651661111111111;48.77853888888889;48.7785388889, 2.65166111111
VARE5;VARENNES (-SUR-FOUZON);POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;1.596775;47.191599999999994;47.1916, 1.596775
VALE9;VALENCAY;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.576713888888889;47.149908333333336;47.1499083333, 1.57671388889
COUDO;COUDON (LE);POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;5.972613888888889;43.15765277777778;43.1576527778, 5.97261388889
LORRI;LORRIS;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.5260694444444445;47.887230555555554;47.8872305556, 2.52606944444
LANCE;LANCEY;POSTE DE TRANSFORMATION;EN EXPLOITATION;225kV;5.887336111111111;45.23555555555556;45.2355555556, 5.88733611111
F.AUB;FLEURY-LES-AUBRAIS;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;1.9293666666666665;47.946861111111104;47.9468611111, 1.92936666667
AURIA;AURIAC;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;-0.32111666666666666;43.460550000000005;43.46055, -0.321116666667
SSOME;ST-OMER;POSTE DE TRANSFORMATION;EN EXPLOITATION;90kV;2.2466055555555555;50.74171666666667;50.7417166667, 2.24660555556
BOUCH;BOUCHAIN;POSTE DE TRANSFORMATION;EN EXPLOITATION;400kV;3.310780555555555;50.29810277777778;50.2981027778, 3.31078055556
NOILH;NOILHAN;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;0.9707111111111111;43.532713888888885;43.5327138889, 0.970711111111
H.RIV;HAUTES-RIVIERES;POSTE DE TRANSFORMATION;EN EXPLOITATION;63kV;4.841080555555555;49.875166666666665;49.8751666667, 4.84108055556
